Time,Idx,PosX,PosY,PosZ,RotX,RotY,RotZ
2018-11-27 14:56:25:28.45,0,-1.087351,0.7583334,-0.6269304,282.3144,35.86861,145.0262
2018-11-27 14:56:25:28.45,1,-1.291984,0.7757472,-0.5924125,89.61794,127.5368,128.6849
2018-11-27 14:56:25:28.45,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:25:28.51,0,-1.087328,0.7583598,-0.6269736,282.3195,35.96835,144.9314
2018-11-27 14:56:25:28.51,1,-1.29178,0.7756402,-0.5922648,89.61134,129.6915,130.8256
2018-11-27 14:56:25:28.51,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:25:28.55,0,-1.087377,0.7583802,-0.6270217,282.3201,35.88398,145.0132
2018-11-27 14:56:25:28.55,1,-1.291775,0.7756017,-0.5922242,89.62413,126.857,127.9783
2018-11-27 14:56:25:28.55,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:25:28.59,0,-1.087331,0.7584816,-0.6269565,282.3342,35.89526,145.0049
2018-11-27 14:56:25:28.59,1,-1.291873,0.7757894,-0.5923874,89.61589,126.3428,127.4967
2018-11-27 14:56:25:28.59,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:25:28.63,0,-1.087304,0.7583982,-0.6269278,282.3199,35.85464,145.0466
2018-11-27 14:56:25:28.63,1,-1.291808,0.7756743,-0.5923186,89.60783,126.299,127.4446
2018-11-27 14:56:25:28.63,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:25:28.67,0,-1.08734,0.7583287,-0.6269843,282.3202,35.87937,145.0213
2018-11-27 14:56:25:28.67,1,-1.291873,0.7756526,-0.5923104,89.60783,126.5188,127.6623
2018-11-27 14:56:25:28.67,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:25:28.71,0,-1.087396,0.7583145,-0.6270009,282.3257,35.89737,145.0019
2018-11-27 14:56:25:28.71,1,-1.29188,0.7756811,-0.5922731,89.61234,127.9494,129.095
2018-11-27 14:56:25:28.71,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:25:28.75,0,-1.087357,0.7583422,-0.626942,282.3194,35.88224,145.0227
2018-11-27 14:56:25:28.75,1,-1.292142,0.7757091,-0.5924992,89.61692,124.7219,125.8732
